[10:06:10 PM] [LOG] [Network] WebSocket server is listening on port 443
[10:06:10 PM] [ERROR] [Content] Doesn't exist path: C:\Users\unkno\Documents\GitHub\Famishs-remake\content
[10:06:10 PM] [ERROR] [CommandSystem] Invalid command from path: C:\Users\unkno\Documents\GitHub\Famishs-remake\game-server\compiled\command\commands\building\clean-building.js
[10:07:22 PM] [WARN] [TICKER] TPS: 15.873015873015873 | DELTA: 0.063
[10:07:23 PM] [WARN] [TICKER] TPS: 6.410256410256411 | DELTA: 0.156
[10:07:23 PM] [WARN] [TICKER] TPS: 9.708737864077671 | DELTA: 0.103
[10:07:23 PM] [WARN] [TICKER] TPS: 7.8125 | DELTA: 0.128
[10:07:23 PM] [WARN] [TICKER] TPS: 13.513513513513514 | DELTA: 0.074
[10:07:23 PM] [WARN] [TICKER] TPS: 16.949152542372882 | DELTA: 0.059
[10:07:24 PM] [WARN] [TICKER] TPS: 16.39344262295082 | DELTA: 0.061
[10:07:24 PM] [WARN] [TICKER] TPS: 14.084507042253522 | DELTA: 0.071
[10:07:24 PM] [WARN] [TICKER] TPS: 16.949152542372882 | DELTA: 0.059
[10:07:25 PM] [WARN] [TICKER] TPS: 9.345794392523365 | DELTA: 0.107
[10:07:25 PM] [WARN] [TICKER] TPS: 14.705882352941176 | DELTA: 0.068
[10:07:25 PM] [WARN] [TICKER] TPS: 19.23076923076923 | DELTA: 0.052
[10:07:27 PM] [WARN] [TICKER] TPS: 15.15151515151515 | DELTA: 0.066
[10:07:28 PM] [WARN] [TICKER] TPS: 14.925373134328357 | DELTA: 0.067
[10:07:29 PM] [WARN] [TICKER] TPS: 9.615384615384615 | DELTA: 0.104
[10:07:29 PM] [WARN] [TICKER] TPS: 12.048192771084336 | DELTA: 0.083
[10:07:29 PM] [WARN] [TICKER] TPS: 6.578947368421053 | DELTA: 0.152
[10:07:30 PM] [WARN] [TICKER] TPS: 13.157894736842106 | DELTA: 0.076
[10:07:30 PM] [WARN] [TICKER] TPS: 1.8518518518518516 | DELTA: 0.54
[10:07:31 PM] [WARN] [TICKER] TPS: 2.3866348448687353 | DELTA: 0.419
[10:07:31 PM] [WARN] [TICKER] TPS: 4.444444444444445 | DELTA: 0.225
[10:07:31 PM] [WARN] [TICKER] TPS: 2.1321961620469083 | DELTA: 0.469
[10:07:32 PM] [WARN] [TICKER] TPS: 4.273504273504273 | DELTA: 0.234
[10:07:32 PM] [WARN] [TICKER] TPS: 9.803921568627452 | DELTA: 0.102
[10:07:32 PM] [WARN] [TICKER] TPS: 17.241379310344826 | DELTA: 0.058
[10:07:32 PM] [WARN] [TICKER] TPS: 6.993006993006993 | DELTA: 0.143
[10:07:32 PM] [WARN] [TICKER] TPS: 18.867924528301888 | DELTA: 0.053
[10:07:32 PM] [WARN] [TICKER] TPS: 10.75268817204301 | DELTA: 0.093
[10:07:33 PM] [WARN] [TICKER] TPS: 18.867924528301888 | DELTA: 0.053
[10:07:33 PM] [WARN] [TICKER] TPS: 16.666666666666668 | DELTA: 0.06
[10:07:33 PM] [WARN] [TICKER] TPS: 10 | DELTA: 0.1
[10:07:34 PM] [WARN] [TICKER] TPS: 18.867924528301888 | DELTA: 0.053
[10:07:34 PM] [WARN] [TICKER] TPS: 17.241379310344826 | DELTA: 0.058
[10:07:35 PM] [WARN] [TICKER] TPS: 16.949152542372882 | DELTA: 0.059
[10:07:35 PM] [WARN] [TICKER] TPS: 17.241379310344826 | DELTA: 0.058
[10:07:35 PM] [WARN] [TICKER] TPS: 5.6818181818181825 | DELTA: 0.176
[10:07:36 PM] [WARN] [TICKER] TPS: 5.181347150259067 | DELTA: 0.193
[10:07:36 PM] [WARN] [TICKER] TPS: 2.6525198938992043 | DELTA: 0.377
